"Ukazatel","IndicatorType","Takticko statistická klasifikace kriminality Police ČR","TSKKC","Území","Uz02","Roky","CasR","Hodnota"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Plzeňský kraj","CZ032","2010","2010","13843"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Plzeňský kraj","CZ032","2011","2011","13752"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Plzeňský kraj","CZ032","2012","2012","12822"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Plzeňský kraj","CZ032","2013","2013","13713"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Plzeňský kraj","CZ032","2014","2014","11991"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Plzeňský kraj","CZ032","2015","2015","10512"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Plzeňský kraj","CZ032","2016","2016","9679"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Plzeňský kraj","CZ032","2017","2017","9727"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Plzeňský kraj","CZ032","2018","2018","9923"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Plzeňský kraj","CZ032","2019","2019","10324"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Plzeňský kraj","CZ032","2020","2020","8996"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Plzeňský kraj","CZ032","2021","2021","8224"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Plzeňský kraj","CZ032","2022","2022","10207"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Plzeňský kraj","CZ032","2023","2023","9562"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Plzeňský kraj","CZ032","2024","2024","8996"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Karlovarský kraj","CZ041","2005","2005","10107"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Karlovarský kraj","CZ041","2006","2006","9492"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Karlovarský kraj","CZ041","2007","2007","10583"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Karlovarský kraj","CZ041","2008","2008","9030"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Karlovarský kraj","CZ041","2009","2009","8834"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Karlovarský kraj","CZ041","2010","2010","7939"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Karlovarský kraj","CZ041","2011","2011","8110"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Karlovarský kraj","CZ041","2012","2012","7582"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Karlovarský kraj","CZ041","2013","2013","8198"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Karlovarský kraj","CZ041","2014","2014","6726"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Karlovarský kraj","CZ041","2015","2015","5737"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Karlovarský kraj","CZ041","2016","2016","4984"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Karlovarský kraj","CZ041","2017","2017","5084"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Karlovarský kraj","CZ041","2018","2018","5034"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Karlovarský kraj","CZ041","2019","2019","5735"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Karlovarský kraj","CZ041","2020","2020","4422"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Karlovarský kraj","CZ041","2021","2021","3754"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Karlovarský kraj","CZ041","2022","2022","4939"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Karlovarský kraj","CZ041","2023","2023","5041"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Karlovarský kraj","CZ041","2024","2024","4954"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Ústecký kraj","CZ042","2005","2005","32773"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Ústecký kraj","CZ042","2006","2006","32837"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Ústecký kraj","CZ042","2007","2007","34663"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Ústecký kraj","CZ042","2008","2008","33124"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Ústecký kraj","CZ042","2009","2009","29670"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Ústecký kraj","CZ042","2010","2010","29438"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Ústecký kraj","CZ042","2011","2011","30287"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Ústecký kraj","CZ042","2012","2012","27427"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Ústecký kraj","CZ042","2013","2013","29848"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Ústecký kraj","CZ042","2014","2014","25927"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Ústecký kraj","CZ042","2015","2015","21061"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Ústecký kraj","CZ042","2016","2016","18377"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Ústecký kraj","CZ042","2017","2017","17531"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Ústecký kraj","CZ042","2018","2018","16560"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Ústecký kraj","CZ042","2019","2019","17099"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Ústecký kraj","CZ042","2020","2020","14872"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Ústecký kraj","CZ042","2021","2021","14333"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Ústecký kraj","CZ042","2022","2022","16365"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Ústecký kraj","CZ042","2023","2023","16061"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Ústecký kraj","CZ042","2024","2024","15858"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Liberecký kraj","CZ051","2005","2005","15047"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Liberecký kraj","CZ051","2006","2006","14778"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Liberecký kraj","CZ051","2007","2007","16050"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Liberecký kraj","CZ051","2008","2008","15463"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Liberecký kraj","CZ051","2009","2009","14692"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Liberecký kraj","CZ051","2010","2010","13764"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Liberecký kraj","CZ051","2011","2011","13674"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Liberecký kraj","CZ051","2012","2012","13003"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Liberecký kraj","CZ051","2013","2013","13963"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Liberecký kraj","CZ051","2014","2014","12504"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Liberecký kraj","CZ051","2015","2015","11154"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Liberecký kraj","CZ051","2016","2016","9186"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Liberecký kraj","CZ051","2017","2017","8672"
"Počet registrovaných skutků","6068","Celková kriminalita","0-999","Liberecký kraj","CZ051","2018","2018","9065"
