idRegistration,startTime,idValueType,value,componentCode,localityCode,nazev,district,lat,lon
40411, 2026-03-06T13:00:00Z,8,16.3,NOx,UULK,Ústí n.L.-Kočkov,Ústí nad Labem,50.68352508544922,14.041194915771484
40412, 2026-03-06T13:00:00Z,8,15.5,PM10,UULK,Ústí n.L.-Kočkov,Ústí nad Labem,50.68352508544922,14.041194915771484
40419, 2026-03-06T13:00:00Z,8,11.7,PM2_5,UULK,Ústí n.L.-Kočkov,Ústí nad Labem,50.68352508544922,14.041194915771484
40448, 2026-03-06T13:00:00Z,8,6.3,NO2,UDCM,Děčín,Děčín,50.77415084838867,14.218793869018556
40450, 2026-03-06T13:00:00Z,8,7.7,NOx,UDCM,Děčín,Děčín,50.77415084838867,14.218793869018556
40451, 2026-03-06T13:00:00Z,8,20.8,PM10,UDCM,Děčín,Děčín,50.77415084838867,14.218793869018556
40507, 2026-03-06T13:00:00Z,8,104.1,O3,LSOU,Souš,Jablonec nad Nisou,50.78964614868164,15.319683074951172
40522, 2026-03-06T13:00:00Z,8,8.9,PM10,LCLM,Česká Lípa,Česká Lípa,50.69804382324219,14.537344932556152
40528, 2026-03-06T13:00:00Z,8,4.3,SO2,KSOM,Sokolov,Sokolov,50.17282485961914,12.672818183898926
40530, 2026-03-06T13:00:00Z,8,17.2,NO2,KSOM,Sokolov,Sokolov,50.17282485961914,12.672818183898926
40532, 2026-03-06T13:00:00Z,8,82.6,O3,KSOM,Sokolov,Sokolov,50.17282485961914,12.672818183898926
40533, 2026-03-06T13:00:00Z,8,23.0,NOx,KSOM,Sokolov,Sokolov,50.17282485961914,12.672818183898926
40534, 2026-03-06T13:00:00Z,8,23.1,PM10,KSOM,Sokolov,Sokolov,50.17282485961914,12.672818183898926
40541, 2026-03-06T13:00:00Z,8,13.4,PM2_5,KSOM,Sokolov,Sokolov,50.17282485961914,12.672818183898926
40542, 2026-03-06T13:00:00Z,8,1.3,SO2,KPRB,Přebuz,Sokolov,50.37247848510742,12.61538028717041
40544, 2026-03-06T13:00:00Z,8,4.2,NO2,KPRB,Přebuz,Sokolov,50.37247848510742,12.61538028717041
40545, 2026-03-06T13:00:00Z,8,97.0,O3,KPRB,Přebuz,Sokolov,50.37247848510742,12.61538028717041
40546, 2026-03-06T13:00:00Z,8,5.0,NOx,KPRB,Přebuz,Sokolov,50.37247848510742,12.61538028717041
40555, 2026-03-06T13:00:00Z,8,1.3,SO2,TOFF,Ostrava-Fifejdy,Ostrava-město,49.83918762207031,18.26368904113769
40557, 2026-03-06T13:00:00Z,8,17.4,NO2,TOFF,Ostrava-Fifejdy,Ostrava-město,49.83918762207031,18.26368904113769
40559, 2026-03-06T13:00:00Z,8,90.2,O3,TOFF,Ostrava-Fifejdy,Ostrava-město,49.83918762207031,18.26368904113769
40560, 2026-03-06T13:00:00Z,8,20.1,NOx,TOFF,Ostrava-Fifejdy,Ostrava-město,49.83918762207031,18.26368904113769
40561, 2026-03-06T13:00:00Z,8,64.7,PM10,TOFF,Ostrava-Fifejdy,Ostrava-město,49.83918762207031,18.26368904113769
40604, 2026-03-06T13:00:00Z,8,3.5,SO2,TCTN,Český Těšín,Karviná,49.74895858764648,18.60972595214844
40606, 2026-03-06T13:00:00Z,8,13.8,NO2,TCTN,Český Těšín,Karviná,49.74895858764648,18.60972595214844
40607, 2026-03-06T13:00:00Z,8,15.5,NOx,TCTN,Český Těšín,Karviná,49.74895858764648,18.60972595214844
40608, 2026-03-06T13:00:00Z,8,23.6,PM10,TCTN,Český Těšín,Karviná,49.74895858764648,18.60972595214844
40614, 2026-03-06T13:00:00Z,8,9.6,NO2,TFMI,Frýdek-Místek,Frýdek-Místek,49.67179107666016,18.35107040405273
40615, 2026-03-06T13:00:00Z,8,11.7,NOx,TFMI,Frýdek-Místek,Frýdek-Místek,49.67179107666016,18.35107040405273
40616, 2026-03-06T13:00:00Z,8,15.9,PM10,TFMI,Frýdek-Místek,Frýdek-Místek,49.67179107666016,18.35107040405273
40626, 2026-03-06T13:00:00Z,8,63.0,PM10,THAR,Havířov,Karviná,49.790977478027344,18.406835556030277
40630, 2026-03-06T13:00:00Z,8,3.2,SO2,TKAR,Karviná,Karviná,49.86379623413086,18.55145263671875
40632, 2026-03-06T13:00:00Z,8,15.5,NO2,TKAR,Karviná,Karviná,49.86379623413086,18.55145263671875
40634, 2026-03-06T13:00:00Z,8,18.9,NOx,TKAR,Karviná,Karviná,49.86379623413086,18.55145263671875
40635, 2026-03-06T13:00:00Z,8,35.7,PM10,TKAR,Karviná,Karviná,49.86379623413086,18.55145263671875
40649, 2026-03-06T13:00:00Z,8,4.0,SO2,TVER,Věřňovice-Dolní Lutyně,Karviná,49.92467880249024,18.42287254333496
40651, 2026-03-06T13:00:00Z,8,11.7,NO2,TVER,Věřňovice-Dolní Lutyně,Karviná,49.92467880249024,18.42287254333496
40652, 2026-03-06T13:00:00Z,8,14.0,NOx,TVER,Věřňovice-Dolní Lutyně,Karviná,49.92467880249024,18.42287254333496
40653, 2026-03-06T13:00:00Z,8,18.9,PM10,TVER,Věřňovice-Dolní Lutyně,Karviná,49.92467880249024,18.42287254333496
40657, 2026-03-06T13:00:00Z,8,19.1,PM2_5,TVER,Věřňovice-Dolní Lutyně,Karviná,49.92467880249024,18.42287254333496
40658, 2026-03-06T13:00:00Z,8,1.3,SO2,TSTD,Studénka,Nový Jičín,49.7209358215332,18.089305877685547
40660, 2026-03-06T13:00:00Z,8,3.3,NO2,TSTD,Studénka,Nový Jičín,49.7209358215332,18.089305877685547
40661, 2026-03-06T13:00:00Z,8,94.8,O3,TSTD,Studénka,Nový Jičín,49.7209358215332,18.089305877685547
40662, 2026-03-06T13:00:00Z,8,4.2,NOx,TSTD,Studénka,Nový Jičín,49.7209358215332,18.089305877685547
40663, 2026-03-06T13:00:00Z,8,11.9,PM10,TSTD,Studénka,Nový Jičín,49.7209358215332,18.089305877685547
40686, 2026-03-06T13:00:00Z,8,1.3,SO2,MPRR,Přerov,Přerov,49.451656341552734,17.454158782958984
40690, 2026-03-06T13:00:00Z,8,95.6,O3,MPRR,Přerov,Přerov,49.451656341552734,17.454158782958984
40692, 2026-03-06T13:00:00Z,8,17.0,PM10,MPRR,Přerov,Přerov,49.451656341552734,17.454158782958984
40693, 2026-03-06T13:00:00Z,8,1.3,SO2,MJES,Jeseník-lázně,Jeseník,50.24224090576172,17.1901798248291
40695, 2026-03-06T13:00:00Z,8,6.3,NO2,MJES,Jeseník-lázně,Jeseník,50.24224090576172,17.1901798248291
40696, 2026-03-06T13:00:00Z,8,92.4,O3,MJES,Jeseník-lázně,Jeseník,50.24224090576172,17.1901798248291
40697, 2026-03-06T13:00:00Z,8,6.5,NOx,MJES,Jeseník-lázně,Jeseník,50.24224090576172,17.1901798248291
40698, 2026-03-06T13:00:00Z,8,26.7,PM10,MJES,Jeseník-lázně,Jeseník,50.24224090576172,17.1901798248291
40708, 2026-03-06T13:00:00Z,8,84.2,O3,PPRM,Přimda,Tachov,49.66958236694336,12.677884101867676
40712, 2026-03-06T13:00:00Z,8,1.78,SO2,CCHU,Churáňov,Prachatice,49.06843566894531,13.614801406860352
40714, 2026-03-06T13:00:00Z,8,2.39,NO2,CCHU,Churáňov,Prachatice,49.06843566894531,13.614801406860352
40715, 2026-03-06T13:00:00Z,8,88.8,O3,CCHU,Churáňov,Prachatice,49.06843566894531,13.614801406860352
40716, 2026-03-06T13:00:00Z,8,3.9,NOx,CCHU,Churáňov,Prachatice,49.06843566894531,13.614801406860352
40721, 2026-03-06T13:00:00Z,8,88.2,O3,CHVO,Hojná Voda,České Budějovice,48.72419738769531,14.723381996154783
40736, 2026-03-06T13:00:00Z,8,1.3,SO2,CCBD,České Budějovice,České Budějovice,48.9843864440918,14.465683937072754
40738, 2026-03-06T13:00:00Z,8,5.4,NO2,CCBD,České Budějovice,České Budějovice,48.9843864440918,14.465683937072754
40740, 2026-03-06T13:00:00Z,8,86.0,O3,CCBD,České Budějovice,České Budějovice,48.9843864440918,14.465683937072754
40741, 2026-03-06T13:00:00Z,8,6.5,NOx,CCBD,České Budějovice,České Budějovice,48.9843864440918,14.465683937072754
40742, 2026-03-06T13:00:00Z,8,21.3,PM10,CCBD,České Budějovice,České Budějovice,48.9843864440918,14.465683937072754
40743, 2026-03-06T13:00:00Z,8,14.1,PM2_5,CCBD,České Budějovice,České Budějovice,48.9843864440918,14.465683937072754
40744, 2026-03-06T13:00:00Z,8,5.1,SO2,PPLV,Plzeň-Doubravka,Plzeň-město,49.76861572265625,13.423380851745604
40746, 2026-03-06T13:00:00Z,8,7.1,NO2,PPLV,Plzeň-Doubravka,Plzeň-město,49.76861572265625,13.423380851745604
40748, 2026-03-06T13:00:00Z,8,84.0,O3,PPLV,Plzeň-Doubravka,Plzeň-město,49.76861572265625,13.423380851745604
40749, 2026-03-06T13:00:00Z,8,9.6,NOx,PPLV,Plzeň-Doubravka,Plzeň-město,49.76861572265625,13.423380851745604
40750, 2026-03-06T13:00:00Z,8,18.9,PM10,PPLV,Plzeň-Doubravka,Plzeň-město,49.76861572265625,13.423380851745604
40764, 2026-03-06T13:00:00Z,8,100.3,O3,SONR,Ondřejov,Praha-východ,49.91351318359375,14.782625198364258
40771, 2026-03-06T13:00:00Z,8,99.4,O3,HKRY,Krkonoše-Rýchory,Trutnov,50.660438537597656,15.850090026855469
40792, 2026-03-06T13:00:00Z,8,9.6,SO2,BBNY,Brno-Tuřany,Brno-město,49.14897155761719,16.696216583251953
40794, 2026-03-06T13:00:00Z,8,3.8,NO2,BBNY,Brno-Tuřany,Brno-město,49.14897155761719,16.696216583251953
40795, 2026-03-06T13:00:00Z,8,101.5,O3,BBNY,Brno-Tuřany,Brno-město,49.14897155761719,16.696216583251953
40796, 2026-03-06T13:00:00Z,8,4.6,NOx,BBNY,Brno-Tuřany,Brno-město,49.14897155761719,16.696216583251953
40797, 2026-03-06T13:00:00Z,8,22.7,PM10,BBNY,Brno-Tuřany,Brno-město,49.14897155761719,16.696216583251953
40798, 2026-03-06T13:00:00Z,8,17.7,PM2_5,BBNY,Brno-Tuřany,Brno-město,49.14897155761719,16.696216583251953
40799, 2026-03-06T13:00:00Z,8,93.8,O3,JKMY,Kostelní Myslová,Jihlava,49.15915298461914,15.439047813415527
40805, 2026-03-06T13:00:00Z,8,25.9,PM10,MPST,Prostějov,Prostějov,49.46785736083984,17.11472511291504
40815, 2026-03-06T13:00:00Z,8,105.7,O3,ZSNV,Štítná n.Vláří,Zlín,49.04781723022461,18.007827758789062
40817, 2026-03-06T13:00:00Z,8,4.8,SO2,BMIS,Mikulov-Sedlec,Břeclav,48.79176712036133,16.724496841430664
40819, 2026-03-06T13:00:00Z,8,9.6,NO2,BMIS,Mikulov-Sedlec,Břeclav,48.79176712036133,16.724496841430664
40820, 2026-03-06T13:00:00Z,8,96.6,O3,BMIS,Mikulov-Sedlec,Břeclav,48.79176712036133,16.724496841430664
40821, 2026-03-06T13:00:00Z,8,12.8,NOx,BMIS,Mikulov-Sedlec,Břeclav,48.79176712036133,16.724496841430664
40822, 2026-03-06T13:00:00Z,8,25.8,PM10,BMIS,Mikulov-Sedlec,Břeclav,48.79176712036133,16.724496841430664
40835, 2026-03-06T13:00:00Z,8,1.46,SO2,JKOS,Košetice,Pelhřimov,49.57339477539063,15.080278396606444
40837, 2026-03-06T13:00:00Z,8,1.59,NO2,JKOS,Košetice,Pelhřimov,49.57339477539063,15.080278396606444
40838, 2026-03-06T13:00:00Z,8,296.0,CO,JKOS,Košetice,Pelhřimov,49.57339477539063,15.080278396606444
40839, 2026-03-06T13:00:00Z,8,99.6,O3,JKOS,Košetice,Pelhřimov,49.57339477539063,15.080278396606444
40840, 2026-03-06T13:00:00Z,8,1.99,NOx,JKOS,Košetice,Pelhřimov,49.57339477539063,15.080278396606444
40841, 2026-03-06T13:00:00Z,8,10.0,PM10,JKOS,Košetice,Pelhřimov,49.57339477539063,15.080278396606444
40845, 2026-03-06T13:00:00Z,8,98.2,O3,ESVR,Svratouch,Chrudim,49.735084533691406,16.034196853637695
40848, 2026-03-06T13:00:00Z,8,37.2,PM2_5,SBER,Beroun,Beroun,49.95792770385742,14.058300018310549
40851, 2026-03-06T13:00:00Z,8,30.4,NO2,SBER,Beroun,Beroun,49.95792770385742,14.058300018310549
40852, 2026-03-06T13:00:00Z,8,525.0,CO,SBER,Beroun,Beroun,49.95792770385742,14.058300018310549
40853, 2026-03-06T13:00:00Z,8,46.7,NOx,SBER,Beroun,Beroun,49.95792770385742,14.058300018310549
40854, 2026-03-06T13:00:00Z,8,42.6,PM10,SBER,Beroun,Beroun,49.95792770385742,14.058300018310549
40878, 2026-03-06T13:00:00Z,8,90.8,O3,TTRO,Třinec-Kosmos,Frýdek-Místek,49.668113708496094,18.67779922485352
40880, 2026-03-06T13:00:00Z,8,21.0,PM10,TTRO,Třinec-Kosmos,Frýdek-Místek,49.668113708496094,18.67779922485352
40885, 2026-03-06T13:00:00Z,8,16.0,PM2_5,TTRO,Třinec-Kosmos,Frýdek-Místek,49.668113708496094,18.67779922485352
40902, 2026-03-06T13:00:00Z,8,10.9,NO2,CPRA,Prachatice,Prachatice,49.01608657836914,14.000444412231444
40904, 2026-03-06T13:00:00Z,8,83.4,O3,CPRA,Prachatice,Prachatice,49.01608657836914,14.000444412231444
40905, 2026-03-06T13:00:00Z,8,12.2,NOx,CPRA,Prachatice,Prachatice,49.01608657836914,14.000444412231444
40918, 2026-03-06T13:00:00Z,8,103.3,O3,URVH,Rudolice v Horách,Most,50.579833984375,13.419506072998049
40920, 2026-03-06T13:00:00Z,8,14.6,PM10,URVH,Rudolice v Horách,Most,50.579833984375,13.419506072998049
40992, 2026-03-06T13:00:00Z,6,-5003.0,SO2,TOPR,Ostrava-Přívoz,Ostrava-město,49.856258392333984,18.26974105834961
40994, 2026-03-06T13:00:00Z,6,-5003.0,NO2,TOPR,Ostrava-Přívoz,Ostrava-město,49.856258392333984,18.26974105834961
40996, 2026-03-06T13:00:00Z,6,-5003.0,NOx,TOPR,Ostrava-Přívoz,Ostrava-město,49.856258392333984,18.26974105834961
40997, 2026-03-06T13:00:00Z,8,61.6,PM10,TOPR,Ostrava-Přívoz,Ostrava-město,49.856258392333984,18.26974105834961
41007, 2026-03-06T13:00:00Z,8,26.6,PM2_5,TOPR,Ostrava-Přívoz,Ostrava-město,49.856258392333984,18.26974105834961
41008, 2026-03-06T13:00:00Z,8,1.3,SO2,EPAO,Pardubice-Rosice,Pardubice,50.04219818115234,15.73941421508789
41010, 2026-03-06T13:00:00Z,8,8.0,NO2,EPAO,Pardubice-Rosice,Pardubice,50.04219818115234,15.73941421508789
41012, 2026-03-06T13:00:00Z,8,9.6,NOx,EPAO,Pardubice-Rosice,Pardubice,50.04219818115234,15.73941421508789
41028, 2026-03-06T13:00:00Z,8,10.5,NO2,SMBO,Mladá Boleslav,Mladá Boleslav,50.42864608764648,14.913859367370604
41029, 2026-03-06T13:00:00Z,8,11.9,NOx,SMBO,Mladá Boleslav,Mladá Boleslav,50.42864608764648,14.913859367370604
41030, 2026-03-06T13:00:00Z,8,22.5,PM10,SMBO,Mladá Boleslav,Mladá Boleslav,50.42864608764648,14.913859367370604
41037, 2026-03-06T13:00:00Z,8,94.0,O3,SMBO,Mladá Boleslav,Mladá Boleslav,50.42864608764648,14.913859367370604
41043, 2026-03-06T13:00:00Z,8,62.4,O3,SKLM,Kladno-střed města,Kladno,50.14385986328125,14.101783752441406
41045, 2026-03-06T13:00:00Z,8,27.0,PM10,SKLM,Kladno-střed města,Kladno,50.14385986328125,14.101783752441406
41050, 2026-03-06T13:00:00Z,8,31.5,PM2_5,SKLM,Kladno-střed města,Kladno,50.14385986328125,14.101783752441406
41056, 2026-03-06T13:00:00Z,8,1.3,SO2,SKLS,Kladno-Švermov,Kladno,50.16741180419922,14.10604763031006
41058, 2026-03-06T13:00:00Z,8,24.7,NO2,SKLS,Kladno-Švermov,Kladno,50.16741180419922,14.10604763031006
41059, 2026-03-06T13:00:00Z,8,32.5,NOx,SKLS,Kladno-Švermov,Kladno,50.16741180419922,14.10604763031006
41060, 2026-03-06T13:00:00Z,8,24.2,PM10,SKLS,Kladno-Švermov,Kladno,50.16741180419922,14.10604763031006
41090, 2026-03-06T13:00:00Z,8,1.3,SO2,EPAU,Pardubice Dukla,Pardubice,50.0240364074707,15.763548851013184
41093, 2026-03-06T13:00:00Z,8,91.4,O3,EPAU,Pardubice Dukla,Pardubice,50.0240364074707,15.763548851013184
41095, 2026-03-06T13:00:00Z,8,18.1,PM10,EPAU,Pardubice Dukla,Pardubice,50.0240364074707,15.763548851013184
41101, 2026-03-06T13:00:00Z,8,17.0,PM2_5,EPAU,Pardubice Dukla,Pardubice,50.0240364074707,15.763548851013184
41139, 2026-03-06T13:00:00Z,8,10.1,NO2,BZNO,Znojmo,Znojmo,48.84295654296875,16.06012725830078
41140, 2026-03-06T13:00:00Z,8,13.2,NOx,BZNO,Znojmo,Znojmo,48.84295654296875,16.06012725830078
41141, 2026-03-06T13:00:00Z,8,16.0,PM10,BZNO,Znojmo,Znojmo,48.84295654296875,16.06012725830078
41144, 2026-03-06T13:00:00Z,8,29.1,NOx,ZUHR,Uherské Hradiště,Uherské Hradiště,49.06795120239258,17.466848373413086
41145, 2026-03-06T13:00:00Z,8,18.4,NO2,ZUHR,Uherské Hradiště,Uherské Hradiště,49.06795120239258,17.466848373413086
41146, 2026-03-06T13:00:00Z,8,27.7,PM10,ZUHR,Uherské Hradiště,Uherské Hradiště,49.06795120239258,17.466848373413086
41151, 2026-03-06T13:00:00Z,8,21.1,PM10,JTRE,Třebíč,Třebíč,49.22343826293945,15.865777969360352
41156, 2026-03-06T13:00:00Z,8,87.6,NOx,ALEG,Praha 2-Legerova (hot spot),Praha 2,50.0723876953125,14.430672645568848
41157, 2026-03-06T13:00:00Z,8,51.1,NO2,ALEG,Praha 2-Legerova (hot spot),Praha 2,50.0723876953125,14.430672645568848
41158, 2026-03-06T13:00:00Z,8,729.0,CO,ALEG,Praha 2-Legerova (hot spot),Praha 2,50.0723876953125,14.430672645568848
41171, 2026-03-06T13:00:00Z,8,97.8,O3,CKOC,Kocelovice,Strakonice,49.4672737121582,13.83745574951172
41172, 2026-03-06T13:00:00Z,8,434.508,CO,HHKB,Hradec Králové-Brněnská,Hradec Králové,50.19536209106445,15.846376419067385
41179, 2026-03-06T13:00:00Z,8,22.9,PM2_5,HHKB,Hradec Králové-Brněnská,Hradec Králové,50.19536209106445,15.846376419067385
41180, 2026-03-06T13:00:00Z,8,18.3,PM10,HHKB,Hradec Králové-Brněnská,Hradec Králové,50.19536209106445,15.846376419067385
41181, 2026-03-06T13:00:00Z,8,9.0,NO2,HHKB,Hradec Králové-Brněnská,Hradec Králové,50.19536209106445,15.846376419067385
41182, 2026-03-06T13:00:00Z,8,11.3,NOx,HHKB,Hradec Králové-Brněnská,Hradec Králové,50.19536209106445,15.846376419067385
41224, 2026-03-06T13:00:00Z,8,6.7,SO2,ZZLN,Zlín,Zlín,49.232906341552734,17.66717529296875
41226, 2026-03-06T13:00:00Z,8,8.6,NOx,ZZLN,Zlín,Zlín,49.232906341552734,17.66717529296875
41227, 2026-03-06T13:00:00Z,8,7.5,NO2,ZZLN,Zlín,Zlín,49.232906341552734,17.66717529296875
41228, 2026-03-06T13:00:00Z,8,6.6,PM10,ZZLN,Zlín,Zlín,49.232906341552734,17.66717529296875
41229, 2026-03-06T13:00:00Z,8,5.1,PM2_5,ZZLN,Zlín,Zlín,49.232906341552734,17.66717529296875
41236, 2026-03-06T13:00:00Z,8,20.6,PM10,AKAL,Praha 8-Karlín,Praha 8,50.09423828125,14.442049026489258
41237, 2026-03-06T13:00:00Z,8,23.1,NOx,AKAL,Praha 8-Karlín,Praha 8,50.09423828125,14.442049026489258
41238, 2026-03-06T13:00:00Z,8,18.9,NO2,AKAL,Praha 8-Karlín,Praha 8,50.09423828125,14.442049026489258
41241, 2026-03-06T13:00:00Z,8,66.6,O3,ASTO,Praha 5-Stodůlky,Praha 5,50.0461311340332,14.331413269042969
41242, 2026-03-06T13:00:00Z,8,41.7,PM10,ASTO,Praha 5-Stodůlky,Praha 5,50.0461311340332,14.331413269042969
41248, 2026-03-06T13:00:00Z,8,12.2,PM10,AVYN,Praha 9-Vysočany,Praha 9,50.11108016967773,14.503095626831056
41249, 2026-03-06T13:00:00Z,8,58.9,O3,AVYN,Praha 9-Vysočany,Praha 9,50.11108016967773,14.503095626831056
41251, 2026-03-06T13:00:00Z,8,54.1,NOx,AVYN,Praha 9-Vysočany,Praha 9,50.11108016967773,14.503095626831056
41252, 2026-03-06T13:00:00Z,8,33.1,NO2,AVYN,Praha 9-Vysočany,Praha 9,50.11108016967773,14.503095626831056
151340, 2026-03-06T13:00:00Z,8,102.3,O3,TCER,Červená hora,Opava,49.77714157104492,17.541946411132812
188512, 2026-03-06T13:00:00Z,8,8.8,SO2,ULOM,Lom,Most,50.58576583862305,13.673418045043944
188518, 2026-03-06T13:00:00Z,8,21.0,NO2,ULOM,Lom,Most,50.58576583862305,13.673418045043944
188521, 2026-03-06T13:00:00Z,8,24.3,NOx,ULOM,Lom,Most,50.58576583862305,13.673418045043944
188524, 2026-03-06T13:00:00Z,8,82.4,O3,ULOM,Lom,Most,50.58576583862305,13.673418045043944
188527, 2026-03-06T13:00:00Z,8,49.7,PM10,ULOM,Lom,Most,50.58576583862305,13.673418045043944
188601, 2026-03-06T13:00:00Z,8,85.7,NOx,UULD,Ústí n.L.-Všebořická (hot spot),Ústí nad Labem,50.68312454223633,13.997873306274414
188604, 2026-03-06T13:00:00Z,8,42.8,NO2,UULD,Ústí n.L.-Všebořická (hot spot),Ústí nad Labem,50.68312454223633,13.997873306274414
188652, 2026-03-06T13:00:00Z,8,1.3,SO2,USNZ,Sněžník,Děčín,50.78944396972656,14.086798667907717
188658, 2026-03-06T13:00:00Z,8,7.7,NOx,USNZ,Sněžník,Děčín,50.78944396972656,14.086798667907717
188661, 2026-03-06T13:00:00Z,8,6.5,NO2,USNZ,Sněžník,Děčín,50.78944396972656,14.086798667907717
188667, 2026-03-06T13:00:00Z,8,99.6,O3,USNZ,Sněžník,Děčín,50.78944396972656,14.086798667907717
194111, 2026-03-06T13:00:00Z,8,17.6,NO2,APRU,Praha 10-Průmyslová,Praha 10,50.06229782104492,14.537819862365724
194114, 2026-03-06T13:00:00Z,8,24.9,NOx,APRU,Praha 10-Průmyslová,Praha 10,50.06229782104492,14.537819862365724
194125, 2026-03-06T13:00:00Z,8,43.9,PM10,APRU,Praha 10-Průmyslová,Praha 10,50.06229782104492,14.537819862365724
199772, 2026-03-06T13:00:00Z,8,95.8,O3,ZZLN,Zlín,Zlín,49.232906341552734,17.66717529296875
200399, 2026-03-06T13:00:00Z,8,59.3,NO2,TOCB,Ostrava-Českobratrská (hot spot),Ostrava-město,49.83984756469727,18.28997611999512
200402, 2026-03-06T13:00:00Z,8,113.4,NOx,TOCB,Ostrava-Českobratrská (hot spot),Ostrava-město,49.83984756469727,18.28997611999512
200405, 2026-03-06T13:00:00Z,8,648.0,CO,TOCB,Ostrava-Českobratrská (hot spot),Ostrava-město,49.83984756469727,18.28997611999512
