idRegistration, startTime, idValueType, value
41226, 2026-03-06T13:00:00Z, 8, 8.6
41227, 2026-03-06T13:00:00Z, 8, 7.5
41228, 2026-03-06T13:00:00Z, 8, 6.6
41229, 2026-03-06T13:00:00Z, 8, 5.1
41236, 2026-03-06T13:00:00Z, 8, 20.6
41237, 2026-03-06T13:00:00Z, 8, 23.1
41238, 2026-03-06T13:00:00Z, 8, 18.9
41241, 2026-03-06T13:00:00Z, 8, 66.6
41242, 2026-03-06T13:00:00Z, 8, 41.7
41248, 2026-03-06T13:00:00Z, 8, 12.2
41249, 2026-03-06T13:00:00Z, 8, 58.9
41251, 2026-03-06T13:00:00Z, 8, 54.1
41252, 2026-03-06T13:00:00Z, 8, 33.1
151340, 2026-03-06T13:00:00Z, 8, 102.3
188512, 2026-03-06T13:00:00Z, 8, 8.8
188518, 2026-03-06T13:00:00Z, 8, 21.0
188521, 2026-03-06T13:00:00Z, 8, 24.3
188524, 2026-03-06T13:00:00Z, 8, 82.4
188527, 2026-03-06T13:00:00Z, 8, 49.7
188601, 2026-03-06T13:00:00Z, 8, 85.7
188604, 2026-03-06T13:00:00Z, 8, 42.8
188652, 2026-03-06T13:00:00Z, 8, 1.3
188658, 2026-03-06T13:00:00Z, 8, 7.7
188661, 2026-03-06T13:00:00Z, 8, 6.5
188667, 2026-03-06T13:00:00Z, 8, 99.6
194111, 2026-03-06T13:00:00Z, 8, 17.6
194114, 2026-03-06T13:00:00Z, 8, 24.9
194125, 2026-03-06T13:00:00Z, 8, 43.9
199772, 2026-03-06T13:00:00Z, 8, 95.8
200399, 2026-03-06T13:00:00Z, 8, 59.3
200402, 2026-03-06T13:00:00Z, 8, 113.4
200405, 2026-03-06T13:00:00Z, 8, 648.0
212828, 2026-03-06T13:00:00Z, 8, 21.8
212831, 2026-03-06T13:00:00Z, 8, 18.2
212840, 2026-03-06T13:00:00Z, 8, 21.8
248573, 2026-03-06T13:00:00Z, 8, 98.8
496448, 2026-03-06T13:00:00Z, 8, 384.42
545104, 2026-03-06T13:00:00Z, 8, 671.0
545110, 2026-03-06T13:00:00Z, 8, 30.0
545113, 2026-03-06T13:00:00Z, 8, 41.5
765847, 2026-03-06T13:00:00Z, 8, 84.4
765857, 2026-03-06T13:00:00Z, 8, 17.3
765861, 2026-03-06T13:00:00Z, 8, 17.9
765865, 2026-03-06T13:00:00Z, 8, 3.2
783575, 2026-03-06T13:00:00Z, 8, 28.9
783579, 2026-03-06T13:00:00Z, 8, 40.7
783591, 2026-03-06T13:00:00Z, 8, 47.9
848786, 2026-03-06T13:00:00Z, 8, 61.8
849536, 2026-03-06T13:00:00Z, 8, 8.5
849544, 2026-03-06T13:00:00Z, 8, 11.6
867316, 2026-03-06T13:00:00Z, 8, 15.4
867319, 2026-03-06T13:00:00Z, 8, 33.7
867322, 2026-03-06T13:00:00Z, 8, 35.2
867416, 2026-03-06T13:00:00Z, 8, 59.5
867419, 2026-03-06T13:00:00Z, 8, 33.0
867884, 2026-03-06T13:00:00Z, 8, 8.1
919418, 2026-03-06T13:00:00Z, 8, 8.8
919422, 2026-03-06T13:00:00Z, 8, 10.5
919426, 2026-03-06T13:00:00Z, 8, 17.3
919430, 2026-03-06T13:00:00Z, 8, 20.8
987035, 2026-03-06T13:00:00Z, 8, 10.1
1005645, 2026-03-06T13:00:00Z, 6, -5002.0
1020981, 2026-03-06T13:00:00Z, 8, 1.3
1021177, 2026-03-06T13:00:00Z, 8, 10.3
1021183, 2026-03-06T13:00:00Z, 8, 12.6
1022029, 2026-03-06T13:00:00Z, 8, 4.0
1022033, 2026-03-06T13:00:00Z, 8, 4.2
1022058, 2026-03-06T13:00:00Z, 8, 1.3
1022070, 2026-03-06T13:00:00Z, 8, 7.5
1022074, 2026-03-06T13:00:00Z, 8, 9.2
1101832, 2026-03-06T13:00:00Z, 8, 4.2
1101836, 2026-03-06T13:00:00Z, 8, 4.8
1101840, 2026-03-06T13:00:00Z, 8, 95.4
1101844, 2026-03-06T13:00:00Z, 8, 8.6
1193925, 2026-03-06T13:00:00Z, 8, 9.6
1193929, 2026-03-06T13:00:00Z, 8, 11.9
1193933, 2026-03-06T13:00:00Z, 8, 97.2
1193937, 2026-03-06T13:00:00Z, 8, 31.3
1283298, 2026-03-06T13:00:00Z, 8, 6.1
1316708, 2026-03-06T13:00:00Z, 8, 21.8
1317399, 2026-03-06T13:00:00Z, 8, 28.5
1317403, 2026-03-06T13:00:00Z, 8, 36.9
1317407, 2026-03-06T13:00:00Z, 8, 37.2
1337358, 2026-03-06T13:00:00Z, 8, 16.2
1337363, 2026-03-06T13:00:00Z, 8, 22.8
1337378, 2026-03-06T13:00:00Z, 8, 29.3
1337478, 2026-03-06T13:00:00Z, 8, 27.9
1337482, 2026-03-06T13:00:00Z, 8, 24.6
1337502, 2026-03-06T13:00:00Z, 8, 35.4
1337515, 2026-03-06T13:00:00Z, 8, 3.3
1365749, 2026-03-06T13:00:00Z, 8, 13.2
1365769, 2026-03-06T13:00:00Z, 8, 18.3
1366118, 2026-03-06T13:00:00Z, 8, 12.9
1366434, 2026-03-06T13:00:00Z, 8, 12.7
1366443, 2026-03-06T13:00:00Z, 8, 32.9
1366482, 2026-03-06T13:00:00Z, 8, 11.5
1366490, 2026-03-06T13:00:00Z, 8, 21.8
1366494, 2026-03-06T13:00:00Z, 8, 27.4
1366498, 2026-03-06T13:00:00Z, 8, 68.8
1366805, 2026-03-06T13:00:00Z, 8, 37.6
1366813, 2026-03-06T13:00:00Z, 8, 20.9
1367168, 2026-03-06T13:00:00Z, 8, 1.3
1367180, 2026-03-06T13:00:00Z, 8, 6.7
